,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,https://servicodados.ibge.gov.br/api/docs/localidades?utm_source=,,,,,,,,,,,,,,,,,,
Data de Envio,Approval Status,Código da notícia,Nome,Sobrenome,Título da notícia,Fonte da notícia,Data da notícia,"Macro região, Estado e município e código",Ação matriz e derivada,Ação Matriz,Ação Derivada,Ação Online?,Bioma,Datas da ação,Tipo de movimento,Outro tipo de movimento,Nome do movimento,Nome de outro movimento,Objetivos da ação,Tipos de instituição,Outros tipos de instituição,Nome da instituição,Nome de outras instituições,ODS,Palavras-Chave,Outros objetivos da ação
"nov. 17, 2022",In Progress,FLO300621U,Paulo Vitor,Luna Torres,"Contra mudanças na demarcação de terras, indígenas bloqueiam quatro rodovias no Ceará",O Povo,"jun. 30, 2021",Nordeste ; Ceará ; Caucaia; 2303709,,,ocupação de via pública/bloqueio de pista,,Caatinga,undefined,Movimento Indígena,,Outros,Povo Pitaguary,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena; BR-222.,
"nov. 17, 2022",In Progress,FLO040721H,Paulo Vitor,Luna Torres,"30J: Com bloqueios de rodovias e barricadas, povos indígenas por todo país lutam por seus territórios (8)",A Nova Democracia,"jul. 4, 2021",Norte ; Pará ; Santarém; 1506807,,Ocupação,ocupação de via pública/bloqueio de pista,,Amazônia ,undefined,Movimento Indígena,,NI,,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena; BR-163.,
"nov. 17, 2022",In Progress,FLO040721G,Paulo Vitor,Luna Torres,"30J: Com bloqueios de rodovias e barricadas, povos indígenas por todo país lutam por seus territórios (7)",A Nova Democracia,"jul. 4, 2021",Norte ; Rondônia ; Porto Velho; 1100205,,Ocupação,Ocupação de espaço público ,,Mata Atlântica,undefined,Movimento Indígena,,Outros,Povos Suruí; Povo Uru-Eu-Wau-Wau e outros não indentificados.,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena.,
"nov. 17, 2022",In Progress,FLO040721F,Paulo Vitor,Luna Torres,"30J: Com bloqueios de rodovias e barricadas, povos indígenas por todo país lutam por seus territórios (6)",A Nova Democracia,"jul. 4, 2021",Norte ; Amazonas ; São Gabriel da Cachoeira; 1303809,,Ocupação,Ocupação de espaço privado  ,,Amazônia ,undefined,Movimento Indígena,,NI,,,Outros,Federação,Outros,Federação das Organizações Indígenas do Rio Negro (Foirn) ,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena.,
"nov. 17, 2022",In Progress,FLO040721E,Paulo Vitor,Luna Torres,"30J: Com bloqueios de rodovias e barricadas, povos indígenas por todo país lutam por seus territórios (5)",A Nova Democracia,"jul. 4, 2021",Sul ; Rio Grande do Sul ; Água Santa; 4300059,,Ocupação,ocupação de via pública/bloqueio de pista,,,undefined,Movimento Indígena,,NI,,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena; BR-257.,
"nov. 17, 2022",In Progress,FLO040721D,Paulo Vitor,Luna Torres,"30J: Com bloqueios de rodovias e barricadas, povos indígenas por todo país lutam por seus territórios (4)",A Nova Democracia,"jul. 4, 2021",Sul ; Paraná ; Chopinzinho; 4105409,,Ocupação,ocupação de via pública/bloqueio de pista,,Mata Atlântica,undefined,Movimento Indígena,,NI,,,Estado,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígen; BR-373.,
"nov. 17, 2022",In Progress,FLO040721C,Paulo Vitor,Luna Torres,"30J: Com bloqueios de rodovias e barricadas, povos indígenas por todo país lutam por seus territórios (3)",A Nova Democracia,"jul. 4, 2021",Sul ; Paraná ; Curitiba; 4106902,,Ocupação,ocupação de via pública/bloqueio de pista,,Mata Atlântica,undefined,Movimento Indígena,,NI,,,NI,,NI,,"15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Marco temporal; Luta pela terra; Mobilização indígena; BR-277.,
"nov. 17, 2022",In Progress,FLO080221D,Bruna,Gonçalves,Vestígios de índios isolados são achados a menos de 4 km de aldeia no Acre e órgãos indigenistas ficam em alerta,G1,"fev. 8, 2021",Norte ; Acre ; Assis Brasil; 1200054,Ação paraestatal ; Barreira Sanitária,,,,Amazônia,,Movimento Indígena,,Outros,Povo Manxineru,,NI,,NI,,"3; Saúde e Bem-Estar
15; Vida Terrestre",Posto de vigilância; Covid-19; Isolamento social,
"nov. 17, 2022",In Progress,FLO110221E,Bruna,Gonçalves,Quilombo Kalunga é reconhecido pela ONU como primeiro território no Brasil conservado pela comunidade,G1,"fev. 11, 2021",Centro-oeste ; Goiás ; Cavalcante; 5205307,Ação/prática comunicativa ; Entrevista concedida,,,sim,Cerrado,Data inicial: 11/02/2021 Data final: 11/02/2021,Movimento Quilombola,,Outros,Associação Quilombo Kalunga (AQK),,NI,,NI,,"11; Cidades e Comunidades Sustentáveis
15; Vida Terrestre
16; Paz Justiça e Instituições Eficazes",Território e Área Conservada por Comunidades Indígenas e Locais (Ticca); Preservação ambiental; Regularização fundiária,
